,freq,nrg_bal,siec,unit,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,A,Gross electricity production,Bioenergy,TJ,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,Gross electricity production,Bioenergy,TJ,AT,4053.24,4340.002,4702.471,4830.091,4274.161,6606.018,5646.035,6092.719,6555.769,5748.88,5501.804,6004.123,5462.795,5928.062,6884.978,8765.467,11643.991,14613.106,14969.93,15395.303,16130.858,16414.834,16844.778,16905.488,16371.817,16731.698,17208.094,17715.035,17747.266,16821.499,16579.736,16178.776,16945.191
2,A,Gross electricity production,Bioenergy,TJ,BA,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,21.6,28.8,28.8,46.8,151.2,111.6
3,A,Gross electricity production,Bioenergy,TJ,BE,1015.2,1076.4,961.2,882.0,882.0,1155.6,1130.4,990.0,1292.4,1785.6,2044.8,2149.2,2595.6,3085.2,3736.4,5723.784,8012.804,9357.797,11980.969,14218.729,16080.12,16765.92,18926.28,18152.64,15931.08,19842.12,19351.44,20561.76,19508.273,18626.672,18974.454,16923.308,17843.431
4,A,Gross electricity production,Bioenergy,TJ,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.915,26.647,126.86,200.653,236.977,402.167,722.851,972.666,1273.01,1425.532,5662.678,6554.92,6117.628,9320.011,8076.938
5,A,Gross electricity production,Bioenergy,TJ,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.558,5.173,41.544,95.465,126.446,185.796,179.348,175.91,181.735,184.45,187.276,186.3,204.826,208.512,218.275,215.784,208.224
6,A,Gross electricity production,Bioenergy,TJ,CZ,0.0,0.0,0.0,579.6,1155.6,1458.0,1051.2,1778.4,2114.176,2436.26,1889.244,1881.324,1813.705,1766.12,2568.136,2634.196,3305.401,4302.932,5216.684,6654.47,7784.953,9732.51,12138.142,14618.542,16788.694,17240.796,17119.188,17881.121,17381.801,18113.98,18775.273,19387.901,19462.917
7,A,Gross electricity production,Bioenergy,TJ,DE,5742.0,6739.2,7354.8,7074.0,7444.8,8758.8,9014.4,9550.8,11008.8,12643.2,15591.6,16524.0,19112.4,32216.4,38286.0,52948.8,68169.6,88621.2,100861.2,111186.0,122122.8,132804.0,155530.8,163850.4,173836.8,181173.6,183344.4,183297.6,182858.4,180457.2,183351.6,180636.658,176930.548
8,A,Gross electricity production,Bioenergy,TJ,DK,673.2,1051.2,1472.4,1962.0,2062.8,2323.595,2998.613,3512.178,3880.8,4744.8,4680.0,5439.6,6764.4,8978.4,10465.2,11422.8,11044.8,11174.4,11300.4,11948.4,16535.113,15749.5,16005.427,15528.582,15481.864,15109.079,17646.794,22804.679,21646.722,22024.786,21906.513,32466.881,27180.557
9,A,Gross electricity production,Bioenergy,TJ,EE,0.0,0.0,0.0,0.0,0.0,21.6,18.0,28.8,43.2,43.2,47.7,39.6,82.8,108.0,108.0,127.192,144.0,118.638,131.897,1126.004,2664.036,2811.719,3603.251,2394.0,2728.8,2944.8,3416.422,3942.104,4706.097,4906.729,6666.753,6370.383,5653.367
