,freq,siec,plant_tec,unit,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
0,A,Pure biogasoline,CAP_PRD,THS_TY,AL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,A,Pure biogasoline,CAP_PRD,THS_TY,AT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160.0,160.0,160.0,191.0,191.0,191.0,191.0,191.0,210.0,210.0,220.5,220.5,220.5,220.5,220.5,220.5,220.5
2,A,Pure biogasoline,CAP_PRD,THS_TY,BA,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,A,Pure biogasoline,CAP_PRD,THS_TY,BE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,369.0,369.0,369.0,369.0,369.0,369.0,369.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0,408.0
4,A,Pure biogasoline,CAP_PRD,THS_TY,BG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,21.9,24.0,26.0,27.0,27.0,27.0,27.0,27.0,27.0,30.0
5,A,Pure biogasoline,CAP_PRD,THS_TY,CY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,A,Pure biogasoline,CAP_PRD,THS_TY,CZ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.79,26.509,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,160.0,180.0,180.0,180.0,180.0,180.0,180.0
7,A,Pure biogasoline,CAP_PRD,THS_TY,DE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,5.0,325.0,471.0,470.0,772.0,794.0,797.0,679.0,701.0,737.0,757.0,769.0,790.0,792.0,736.0,736.0,760.0,772.0,805.0
8,A,Pure biogasoline,CAP_PRD,THS_TY,DK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,A,Pure biogasoline,CAP_PRD,THS_TY,EA20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,272.0,496.0,507.22,819.533,1437.155,1691.105,3199.365,3428.356,3436.156,3328.795,3351.795,3916.795,3438.795,4286.795,4447.184,4555.784,4631.784,4964.848,4980.848,5001.848,4769.784
10,A,Pure biogasoline,CAP_PRD,THS_TY,EE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,A,Pure biogasoline,CAP_PRD,THS_TY,EL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,292.064,292.064,292.064,0.0
12,A,Pure biogasoline,CAP_PRD,THS_TY,ES,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,272.0,272.0,272.0,272.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0,464.0
13,A,Pure biogasoline,CAP_PRD,THS_TY,EU27_2020,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,118.0,272.0,496.0,507.22,866.776,1488.619,2018.0,3815.84,4257.037,4287.762,4185.008,4495.14,5072.84,4567.181,5755.096,5991.809,6137.084,6292.42,6626.428,6660.428,6729.428,6674.364
14,A,Pure biogasoline,CAP_PRD,THS_TY,FI,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8,3.2,5.0,11.0,15.0,30.0,30.0,40.0,40.0,50.0,50.0,50.0,50.0,50.0,50.0
15,A,Pure biogasoline,CAP_PRD,THS_TY,FR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,219.0,211.0,203.313,301.535,555.485,941.795,1091.795,1091.795,1091.795,1091.795,1091.795,1091.795,1091.795,1614.684,1654.684,1654.684,1654.684,1654.684,1654.684,1654.684
16,A,Pure biogasoline,CAP_PRD,THS_TY,GE,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,A,Pure biogasoline,CAP_PRD,THS_TY,HR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,A,Pure biogasoline,CAP_PRD,THS_TY,HU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,140.0,140.0,140.0,298.0,300.0,334.0,494.0,499.5,503.7,538.0,539.0,536.0,549.0,772.0
19,A,Pure biogasoline,CAP_PRD,THS_TY,IE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.6,9.6,9.6,9.6,9.6,9.6
20,A,Pure biogasoline,CAP_PRD,THS_TY,IS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
21,A,Pure biogasoline,CAP_PRD,THS_TY,IT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0,332.0
22,A,Pure biogasoline,CAP_PRD,THS_TY,LI,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,A,Pure biogasoline,CAP_PRD,THS_TY,LT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,8.0,16.0,17.0,40.0,60.0,60.0,60.0,60.0,60.0,60.0,20.0,20.0,20.0,20.0,20.0,40.0,40.0,40.0
24,A,Pure biogasoline,CAP_PRD,THS_TY,LU,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,A,Pure biogasoline,CAP_PRD,THS_TY,LV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.4,13.4,13.4,28.361,28.361,25.0,25.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0,19.0
26,A,Pure biogasoline,CAP_PRD,THS_TY,MD,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,A,Pure biogasoline,CAP_PRD,THS_TY,ME,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,A,Pure biogasoline,CAP_PRD,THS_TY,MK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,A,Pure biogasoline,CAP_PRD,THS_TY,MT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,A,Pure biogasoline,CAP_PRD,THS_TY,NL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.22,11.22,11.22,11.22,11.22,0.0,0.0,0.0,0.0,503.0,0.0,821.0,421.0,468.0,592.0,617.0,589.0,598.0,625.0
31,A,Pure biogasoline,CAP_PRD,THS_TY,NO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,A,Pure biogasoline,CAP_PRD,THS_TY,PL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249.2,321.3,394.8,394.8,406.0,408.8,397.6,365.4,507.5,600.6,600.6,636.636,636.58,657.58,692.58,643.58
